doc_id,author,sentiment_mean,sentiment_sd,doc_word_count,sentence_word_count_mean,conc_rating_mean,conc_rating_mean_n,prev_prevalence_mean,prev_prevalence_n,subtlex_us_freq_zipf_mean,subtlex_us_freq_zipf_n,cp_pron_mean,cp_pron_n,aoa_rating_mean,aoa_rating_mean_n
1,proust,-0.048195128066532665,0.23355159408045154,291,20.785714285714285,2.4197014925373135,0.9209621993127147,2.270888006797523,0.9243986254295533,5.882244185468541,0.9243986254295533,6.730769230769231,0.044673539518900345,5.308038340807175,0.7663230240549829
2,proust,0.04257597927240249,0.259793905141683,204,14.571428571428571,2.4403045685279188,0.9656862745098039,2.2841804227686007,0.9705882352941176,6.00531436874877,0.9705882352941176,6.724545454545455,0.05392156862745098,5.195609316666667,0.8823529411764706
3,proust,-0.05578783802381026,0.13247689541320737,258,23.454545454545453,2.4948979591836733,0.9496124031007752,2.2616233749092602,0.9496124031007752,5.959032030304071,0.9496124031007752,6.795,0.046511627906976744,5.137976394618835,0.8643410852713178
4,proust,-0.15080281713407595,0.1954120687761547,115,38.333333333333336,2.3868807339449543,0.9478260869565217,2.252454014856327,0.9565217391304348,5.730532917867016,0.9565217391304348,6.8,0.043478260869565216,5.820043541666667,0.8347826086956521
5,proust,-0.13467402843067655,0.1307987235296168,132,22,2.4403305785123965,0.9166666666666666,2.296034008528387,0.9242424242424242,5.903162020556518,0.9242424242424242,6.708333333333333,0.045454545454545456,5.397725852173913,0.8712121212121212
6,proust,0.05029708291133869,0.057947679355946975,260,32.5,2.44480686695279,0.8961538461538462,2.2918576155302923,0.9,5.795703475673507,0.9,6.83,0.023076923076923078,5.236744381909548,0.7653846153846153
7,proust,0.04836912786328703,0.055374388433707816,263,87.66666666666667,2.566333333333333,0.9125475285171103,2.2999224140241155,0.9163498098859315,6.003061834295564,0.9163498098859315,6.7973684210526315,0.07224334600760456,4.9458408604651165,0.8174904942965779
8,proust,-0.14957527025607023,0.1448508216826579,375,75,2.4642679127725855,0.856,2.240911163247433,0.8666666666666667,5.9093115853428655,0.8666666666666667,6.855714285714286,0.037333333333333336,5.237076435986159,0.7706666666666667
9,proust,-0.09562151882580686,0.28513634036034746,648,81,2.484175438596491,0.8796296296296297,2.259065433086498,0.8935185185185185,5.60482349532119,0.8935185185185185,6.696,0.046296296296296294,5.531148524850895,0.7762345679012346
10,proust,0.054619662521558233,0.2707311992990677,285,31.666666666666668,2.4620149253731345,0.9403508771929825,2.2830264162996583,0.9508771929824561,5.924463522442898,0.9508771929824561,6.71,0.014035087719298246,5.188901080168777,0.8315789473684211
11,james,-0.060784849177571675,0.1677619815925897,220,24.444444444444443,2.241340206185567,0.8818181818181818,2.3115706396418676,0.8909090909090909,5.832656908445469,0.8909090909090909,6.743846153846154,0.05909090909090909,5.696601563953489,0.7818181818181819
12,james,-0.13696420193851086,0.29872271883798723,164,18.22222222222222,2.4147142857142856,0.8536585365853658,2.2874944467584886,0.8536585365853658,5.850788901601084,0.8536585365853658,6.6925,0.07317073170731707,5.642824500000001,0.7560975609756098
13,james,0.05586937118441478,0.16255817079791707,337,22.466666666666665,2.475763888888889,0.8545994065281899,2.285190737857197,0.857566765578635,5.983319283020007,0.857566765578635,6.638461538461539,0.03857566765578635,5.191945041509435,0.7863501483679525
14,james,0.08523683630990879,0.2700156829360632,202,16.833333333333332,2.2482162162162163,0.9158415841584159,2.3188410023230364,0.9207920792079208,5.942413158898849,0.9207920792079208,6.834,0.024752475247524754,5.511586314814815,0.801980198019802
15,james,0.016029775140731114,0.10985655596072019,205,20.5,2.389896907216495,0.9463414634146341,2.3051581708102495,0.9463414634146341,5.971066550044036,0.9463414634146341,6.866923076923077,0.06341463414634146,5.3898735147928996,0.824390243902439
16,james,0.21855351849773547,0.3256563510133687,156,31.2,2.2080281690140846,0.9102564102564102,2.263651948815176,0.9230769230769231,5.775189112759425,0.9230769230769231,6.6,0.04487179487179487,5.701754572580645,0.7948717948717948
17,james,0.1413512340400683,0.17390769377735601,380,27.142857142857142,2.266936416184971,0.9105263157894737,2.2603632343177362,0.9184210526315789,5.8484213603765065,0.9184210526315789,6.7427777777777775,0.04736842105263158,5.4933544888888894,0.8289473684210527
18,james,-0.05540946280030417,0.21956450796186813,214,21.4,2.2788020833333333,0.897196261682243,2.2921117437819265,0.897196261682243,5.898329721606486,0.897196261682243,6.776,0.04672897196261682,5.367153433526012,0.8084112149532711
19,james,-0.07345490331780255,0.2488193018804665,162,27,2.1758620689655173,0.8950617283950617,2.256562555996783,0.9074074074074074,5.929039744850409,0.9074074074074074,6.645,0.012345679012345678,5.645003664122138,0.808641975308642
20,james,0.10310194075417761,0.16490298043701257,204,18.545454545454547,2.0983240223463686,0.8774509803921569,2.2897925843775164,0.8774509803921569,6.030255277715239,0.8774509803921569,6.798571428571429,0.03431372549019608,5.617676202453988,0.7990196078431373
